"workerid","color","percentage_blue","modal","rating","speaker_cond"
0,"""orange""",0,"""probably""",0,"f"
0,"""orange""",10,"""probably""",0.93,"f"
0,"""orange""",25,"""probably""",0.77,"f"
0,"""orange""",40,"""probably""",0,"f"
0,"""orange""",50,"""probably""",0.2,"f"
0,"""orange""",60,"""probably""",0.06,"f"
0,"""orange""",75,"""probably""",0.03,"f"
0,"""orange""",90,"""probably""",0,"f"
0,"""orange""",100,"""probably""",0,"f"
0,"""blue""",0,"""might""",0,"f"
0,"""blue""",10,"""might""",0,"f"
0,"""blue""",25,"""might""",0.16,"f"
0,"""blue""",40,"""might""",0.31,"f"
0,"""blue""",50,"""might""",0.41,"f"
0,"""blue""",60,"""might""",0,"f"
0,"""blue""",75,"""might""",0,"f"
0,"""blue""",90,"""might""",0,"f"
0,"""blue""",100,"""might""",0,"f"
0,"""blue""",0,"""bare""",0,"f"
0,"""blue""",10,"""bare""",0,"f"
0,"""blue""",25,"""bare""",0,"f"
0,"""blue""",40,"""bare""",0,"f"
0,"""blue""",50,"""bare""",0,"f"
0,"""blue""",60,"""bare""",0,"f"
0,"""blue""",75,"""bare""",0,"f"
0,"""blue""",90,"""bare""",0,"f"
0,"""blue""",100,"""bare""",1,"f"
0,"""orange""",0,"""might""",0,"f"
0,"""orange""",10,"""might""",0.27,"f"
0,"""orange""",25,"""might""",0.21,"f"
0,"""orange""",40,"""might""",0.31,"f"
0,"""orange""",50,"""might""",0.39,"f"
0,"""orange""",60,"""might""",0.57,"f"
0,"""orange""",75,"""might""",0,"f"
0,"""orange""",90,"""might""",0,"f"
0,"""orange""",100,"""might""",0,"f"
0,"""orange""",0,"""bare""",1,"f"
0,"""orange""",10,"""bare""",0,"f"
0,"""orange""",25,"""bare""",0,"f"
0,"""orange""",40,"""bare""",0,"f"
0,"""orange""",50,"""bare""",0,"f"
0,"""orange""",60,"""bare""",0,"f"
0,"""orange""",75,"""bare""",0,"f"
0,"""orange""",90,"""bare""",0,"f"
0,"""orange""",100,"""bare""",0,"f"
0,"""blue""",0,"""probably""",0,"f"
0,"""blue""",10,"""probably""",0,"f"
0,"""blue""",25,"""probably""",0,"f"
0,"""blue""",40,"""probably""",0,"f"
0,"""blue""",50,"""probably""",0,"f"
0,"""blue""",60,"""probably""",0.47,"f"
